"","GLD","XRP","ETH","SP500","VIX","BTC"
"2008-01-02",84.860001,NA,NA,1447.160034,23.17,NA
"2008-01-03",85.57,NA,NA,1447.160034,22.49,NA
"2008-01-04",85.129997,NA,NA,1411.630005,23.940001,NA
"2008-01-07",84.769997,NA,NA,1416.180054,23.790001,NA
"2008-01-08",86.779999,NA,NA,1390.189941,25.43,NA
"2008-01-09",86.550003,NA,NA,1409.130005,24.120001,NA
"2008-01-10",88.25,NA,NA,1420.329956,23.450001,NA
"2008-01-11",88.580002,NA,NA,1401.02002,23.68,NA
"2008-01-14",89.540001,NA,NA,1416.25,22.9,NA
"2008-01-15",87.989998,NA,NA,1380.949951,23.34,NA
"2008-01-16",86.699997,NA,NA,1373.199951,24.379999,NA
"2008-01-17",86.5,NA,NA,1333.25,28.459999,NA
"2008-01-18",87.419998,NA,NA,1325.189941,27.18,NA
"2008-01-22",88.169998,NA,NA,1310.5,31.01,NA
"2008-01-23",87.889999,NA,NA,1338.599976,29.02,NA
"2008-01-24",90.080002,NA,NA,1352.069946,27.780001,NA
"2008-01-25",90.300003,NA,NA,1330.609985,29.08,NA
"2008-01-28",91.75,NA,NA,1353.959961,27.780001,NA
"2008-01-29",91.150002,NA,NA,1362.300049,27.32,NA
"2008-01-30",92.059998,NA,NA,1355.810059,27.620001,NA
"2008-01-31",91.400002,NA,NA,1378.550049,26.200001,NA
"2008-02-01",89.349998,NA,NA,1395.420044,24.02,NA
"2008-02-04",89.099998,NA,NA,1380.819946,25.99,NA
"2008-02-05",87.68,NA,NA,1336.640015,28.24,NA
"2008-02-06",88.949997,NA,NA,1326.449951,28.969999,NA
"2008-02-07",89.849998,NA,NA,1336.910034,27.66,NA
"2008-02-08",91,NA,NA,1331.290039,28.01,NA
"2008-02-11",91.330002,NA,NA,1339.130005,27.6,NA
"2008-02-12",89.330002,NA,NA,1348.859985,26.33,NA
"2008-02-13",89.440002,NA,NA,1367.209961,24.879999,NA
"2008-02-14",89.709999,NA,NA,1348.859985,25.540001,NA
"2008-02-15",89.150002,NA,NA,1349.98999,25.02,NA
"2008-02-19",91.580002,NA,NA,1348.780029,25.59,NA
"2008-02-20",93.239998,NA,NA,1360.030029,24.4,NA
"2008-02-21",93.25,NA,NA,1342.530029,25.120001,NA
"2008-02-22",93.389999,NA,NA,1353.109985,24.059999,NA
"2008-02-25",92.739998,NA,NA,1371.800049,23.030001,NA
"2008-02-26",93.709999,NA,NA,1381.290039,21.9,NA
"2008-02-27",94.779999,NA,NA,1380.02002,22.690001,NA
"2008-02-28",95.989998,NA,NA,1367.680054,23.530001,NA
"2008-02-29",96.18,NA,NA,1330.630005,26.540001,NA
"2008-03-03",97.239998,NA,NA,1331.339966,26.280001,NA
"2008-03-04",95.18,NA,NA,1326.75,25.52,NA
"2008-03-05",97.720001,NA,NA,1333.699951,24.6,NA
"2008-03-06",96.5,NA,NA,1304.339966,27.549999,NA
"2008-03-07",96.089996,NA,NA,1293.369995,27.49,NA
"2008-03-10",95.870003,NA,NA,1273.369995,29.379999,NA
"2008-03-11",95.989998,NA,NA,1320.650024,26.360001,NA
"2008-03-12",97.010002,NA,NA,1308.77002,27.219999,NA
"2008-03-13",98.339996,NA,NA,1315.47998,27.290001,NA
"2008-03-14",98.709999,NA,NA,1288.140015,31.16,NA
"2008-03-17",99.169998,NA,NA,1276.599976,32.240002,NA
"2008-03-18",96.5,NA,NA,1330.73999,25.790001,NA
"2008-03-19",93.040001,NA,NA,1298.420044,29.84,NA
"2008-03-20",89.910004,NA,NA,1329.51001,26.620001,NA
"2008-03-24",90.099998,NA,NA,1349.880005,25.73,NA
"2008-03-25",92.730003,NA,NA,1352.98999,25.719999,NA
"2008-03-26",93.800003,NA,NA,1341.130005,26.08,NA
"2008-03-27",93.459999,NA,NA,1325.76001,25.879999,NA
"2008-03-28",91.879997,NA,NA,1315.219971,25.709999,NA
"2008-03-31",90.410004,NA,NA,1322.699951,25.610001,NA
"2008-04-01",86.860001,NA,NA,1370.180054,22.68,NA
"2008-04-02",89.269997,NA,NA,1367.530029,23.43,NA
"2008-04-03",89.419998,NA,NA,1369.310059,23.209999,NA
"2008-04-04",90.25,NA,NA,1370.400024,22.450001,NA
"2008-04-07",91.169998,NA,NA,1372.540039,22.42,NA
"2008-04-08",90.349998,NA,NA,1365.540039,22.360001,NA
"2008-04-09",92.290001,NA,NA,1354.48999,22.809999,NA
"2008-04-10",91.769997,NA,NA,1360.550049,21.98,NA
"2008-04-11",91.300003,NA,NA,1332.829956,23.459999,NA
"2008-04-14",91.110001,NA,NA,1328.319946,23.82,NA
"2008-04-15",91.660004,NA,NA,1334.430054,22.780001,NA
"2008-04-16",93.269997,NA,NA,1364.709961,20.530001,NA
"2008-04-17",92.559998,NA,NA,1365.560059,20.370001,NA
"2008-04-18",90.620003,NA,NA,1390.329956,20.129999,NA
"2008-04-21",90.25,NA,NA,1388.170044,20.5,NA
"2008-04-22",90.269997,NA,NA,1375.939941,20.870001,NA
"2008-04-23",89.220001,NA,NA,1379.930054,20.26,NA
"2008-04-24",87.220001,NA,NA,1388.819946,20.059999,NA
"2008-04-25",87.269997,NA,NA,1397.839966,19.59,NA
"2008-04-28",87.690002,NA,NA,1396.369995,19.639999,NA
"2008-04-29",85.809998,NA,NA,1390.939941,20.24,NA
"2008-04-30",86.650002,NA,NA,1385.589966,20.790001,NA
"2008-05-01",83.989998,NA,NA,1409.339966,18.879999,NA
"2008-05-02",84.580002,NA,NA,1413.900024,18.18,NA
"2008-05-05",86.269997,NA,NA,1407.48999,18.9,NA
"2008-05-06",86.629997,NA,NA,1418.26001,18.209999,NA
"2008-05-07",85.82,NA,NA,1392.569946,19.73,NA
"2008-05-08",87.239998,NA,NA,1397.680054,19.4,NA
"2008-05-09",87.419998,NA,NA,1388.280029,19.41,NA
"2008-05-12",86.989998,NA,NA,1403.579956,17.790001,NA
"2008-05-13",85.389999,NA,NA,1403.040039,17.98,NA
"2008-05-14",85.199997,NA,NA,1408.660034,17.66,NA
"2008-05-15",87,NA,NA,1423.569946,16.299999,NA
"2008-05-16",89.099998,NA,NA,1425.349976,16.469999,NA
"2008-05-19",89.389999,NA,NA,1426.630005,17.01,NA
"2008-05-20",90.900002,NA,NA,1413.400024,17.58,NA
"2008-05-21",91.959999,NA,NA,1390.709961,18.59,NA
"2008-05-22",90.980003,NA,NA,1394.349976,18.049999,NA
"2008-05-23",91.230003,NA,NA,1375.930054,19.549999,NA
"2008-05-27",89.360001,NA,NA,1385.349976,19.639999,NA
"2008-05-28",89.139999,NA,NA,1390.839966,19.07,NA
"2008-05-29",86.510002,NA,NA,1398.26001,18.139999,NA
"2008-05-30",87.449997,NA,NA,1400.380005,17.83,NA
"2008-06-02",87.959999,NA,NA,1385.670044,19.83,NA
"2008-06-03",86.879997,NA,NA,1377.650024,20.24,NA
"2008-06-04",86.650002,NA,NA,1377.199951,20.799999,NA
"2008-06-05",86.449997,NA,NA,1404.050049,18.629999,NA
"2008-06-06",89.059998,NA,NA,1360.680054,23.559999,NA
"2008-06-09",87.989998,NA,NA,1361.76001,23.120001,NA
"2008-06-10",85.550003,NA,NA,1358.439941,23.18,NA
"2008-06-11",87.019997,NA,NA,1335.48999,24.120001,NA
"2008-06-12",85.599998,NA,NA,1339.869995,23.33,NA
"2008-06-13",85.830002,NA,NA,1360.030029,21.219999,NA
"2008-06-16",87.010002,NA,NA,1360.140015,20.950001,NA
"2008-06-17",87.25,NA,NA,1350.930054,21.129999,NA
"2008-06-18",88.279999,NA,NA,1337.810059,22.24,NA
"2008-06-19",88.419998,NA,NA,1342.829956,21.58,NA
"2008-06-20",88.949997,NA,NA,1317.930054,22.870001,NA
"2008-06-23",87.089996,NA,NA,1318,22.639999,NA
"2008-06-24",87.470001,NA,NA,1314.290039,22.42,NA
"2008-06-25",87.419998,NA,NA,1321.969971,21.139999,NA
"2008-06-26",90.610001,NA,NA,1283.150024,23.93,NA
"2008-06-27",91.470001,NA,NA,1278.380005,23.440001,NA
"2008-06-30",91.400002,NA,NA,1280,23.950001,NA
"2008-07-01",92.660004,NA,NA,1284.910034,23.65,NA
"2008-07-02",93.169998,NA,NA,1261.52002,25.92,NA
"2008-07-03",92.059998,NA,NA,1262.900024,24.780001,NA
"2008-07-07",91.230003,NA,NA,1252.310059,25.780001,NA
"2008-07-08",90.860001,NA,NA,1273.699951,23.15,NA
"2008-07-09",91.5,NA,NA,1244.689941,25.23,NA
"2008-07-10",93.529999,NA,NA,1253.390015,25.59,NA
"2008-07-11",95.160004,NA,NA,1239.48999,27.49,NA
"2008-07-14",95.910004,NA,NA,1228.300049,28.48,NA
"2008-07-15",96.169998,NA,NA,1214.910034,28.540001,NA
"2008-07-16",94.440002,NA,NA,1245.359985,25.1,NA
"2008-07-17",94.220001,NA,NA,1260.319946,25.01,NA
"2008-07-18",94.169998,NA,NA,1260.680054,24.049999,NA
"2008-07-21",95.120003,NA,NA,1260,23.049999,NA
"2008-07-22",93.059998,NA,NA,1277,21.18,NA
"2008-07-23",90.57,NA,NA,1282.189941,21.309999,NA
"2008-07-24",91.330002,NA,NA,1252.540039,23.440001,NA
"2008-07-25",91.690002,NA,NA,1257.76001,22.91,NA
"2008-07-28",91.730003,NA,NA,1234.369995,24.23,NA
"2008-07-29",90.589996,NA,NA,1263.199951,22.030001,NA
"2008-07-30",89.519997,NA,NA,1284.26001,21.209999,NA
"2008-07-31",90.080002,NA,NA,1267.380005,22.940001,NA
"2008-08-01",89.57,NA,NA,1260.310059,22.57,NA
"2008-08-04",88.139999,NA,NA,1249.01001,23.49,NA
"2008-08-05",86.080002,NA,NA,1284.880005,21.139999,NA
"2008-08-06",86.639999,NA,NA,1289.189941,20.23,NA
"2008-08-07",86.089996,NA,NA,1266.069946,21.15,NA
"2008-08-08",84.43,NA,NA,1296.319946,20.66,NA
"2008-08-11",81.129997,NA,NA,1305.319946,20.120001,NA
"2008-08-12",80.519997,NA,NA,1289.589966,21.17,NA
"2008-08-13",81.559998,NA,NA,1285.829956,21.549999,NA
"2008-08-14",79.349998,NA,NA,1292.930054,20.34,NA
"2008-08-15",77.629997,NA,NA,1298.199951,19.58,NA
"2008-08-18",78.800003,NA,NA,1278.599976,20.98,NA
"2008-08-19",80.43,NA,NA,1266.689941,21.280001,NA
"2008-08-20",80.059998,NA,NA,1274.540039,20.42,NA
"2008-08-21",82.300003,NA,NA,1277.719971,19.82,NA
"2008-08-22",81.080002,NA,NA,1292.199951,18.809999,NA
"2008-08-25",80.93,NA,NA,1266.839966,20.969999,NA
"2008-08-26",81.230003,NA,NA,1271.51001,20.49,NA
"2008-08-27",81.360001,NA,NA,1281.660034,19.76,NA
"2008-08-28",82.18,NA,NA,1300.680054,19.43,NA
"2008-08-29",81.709999,NA,NA,1282.829956,20.65,NA
"2008-09-02",79.199997,NA,NA,1277.579956,21.99,NA
"2008-09-03",78.889999,NA,NA,1274.97998,21.43,NA
"2008-09-04",78.389999,NA,NA,1236.829956,24.030001,NA
"2008-09-05",78.980003,NA,NA,1242.310059,23.059999,NA
"2008-09-08",78.860001,NA,NA,1267.790039,22.639999,NA
"2008-09-09",76.489998,NA,NA,1224.51001,25.469999,NA
"2008-09-10",74.220001,NA,NA,1232.040039,24.52,NA
"2008-09-11",73.080002,NA,NA,1249.050049,24.389999,NA
"2008-09-12",75.550003,NA,NA,1251.699951,25.66,NA
"2008-09-15",77.559998,NA,NA,1192.699951,31.700001,NA
"2008-09-16",76.790001,NA,NA,1213.599976,30.299999,NA
"2008-09-17",85.459999,NA,NA,1156.390015,36.220001,NA
"2008-09-18",82.800003,NA,NA,1206.51001,33.099998,NA
"2008-09-19",85.980003,NA,NA,1255.079956,32.07,NA
"2008-09-22",89.18,NA,NA,1207.089966,33.849998,NA
"2008-09-23",88.32,NA,NA,1188.219971,35.720001,NA
"2008-09-24",86.709999,NA,NA,1185.869995,35.189999,NA
"2008-09-25",86.449997,NA,NA,1209.180054,32.82,NA
"2008-09-26",86.639999,NA,NA,1213.27002,34.740002,NA
"2008-09-29",89.57,NA,NA,1106.420044,46.720001,NA
